,ipc_all,lag_1,lag_2,lag_3,lag_6,lag_9,lag_12,oil_cb,sugar_sc,milk2_cb,watermelon_po,flour_lp,chicken_tj,lard_co,onion2_tj,ycorn_tj,platano_co,oil_su,chicken_co,rice_cb,inflacion,tomato_tj,chicken_tr,papa2_tj,silver,sugar_tj,chicken_cb,squash_co,peas_tj,rice3_po,peas_su,papaya_su,carrot_tj,bean_cb,yuca_lp,set,freq,w_per_m
2010-01-10,,-1.3379057753480164,-1.2479294864663462,-1.0809622176818245,-0.7524973366920104,0.7895736357619646,3.0468048393124008,-3.236956353210846,-1.095272201126372,-1.3467184321151737,1.191992340188471,-1.104807159307878,-0.28508594626905603,1.7059192879676086,1.5632125293001145,-1.0748402878094196,0.17958339055279587,1.721045639542427,-1.5405792161664913,-0.5819496585330876,0.284304104755197,-1.2362906732239602,0.5667207725720154,-1.3854142552867177,-0.6290206487651808,-0.9872349649594684,-3.032452542266016,1.2802432032869444,-0.49728052474922985,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,0.3891047251741079,-0.6755888949071794,0.8050921890895147,train,week,4
2010-01-17,,-1.3379057753480164,-1.2479294864663462,-1.0809622176818245,-0.7524973366920104,0.7895736357619646,3.0468048393124008,-3.236956353210846,-0.9672134756777702,-1.3467184321151737,1.191992340188471,-1.0701584683317387,-0.28508594626905603,1.7059192879676086,1.5632125293001145,-1.0748402878094196,0.17958339055279587,1.721045639542427,-1.5405792161664913,-0.5819496585330876,0.284304104755197,-0.7246114385699925,0.5667207725720154,-1.3854142552867177,-0.6043373418734855,-0.9872349649594684,-2.7814666357123614,1.2802432032869444,-0.8107130088321858,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,-0.42120050652373037,-0.8886261261413281,0.8050921890895147,train,week,4
2010-01-24,,-1.3379057753480164,-1.2479294864663462,-1.0809622176818245,-0.7524973366920104,0.7895736357619646,3.0468048393124008,-3.236956353210846,-0.6790813434184158,-1.3467184321151737,1.191992340188471,-1.0840179447221945,-0.5122805137313257,1.7059192879676086,1.5632125293001145,-0.9349560317647737,0.17958339055279587,1.721045639542427,-1.5405792161664913,-0.5819496585330876,0.284304104755197,-0.04514167982411584,0.5667207725720154,-1.3854142552867177,-0.5635557407539185,-0.9872349649594684,-2.395334471783663,1.2802432032869444,-0.7473933150780534,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,0.4826014826777046,-0.912296929611789,0.8050921890895147,train,week,4
2010-01-31,0.0744717144483875,-1.3379057753480164,-1.2479294864663464,-1.0809622176818245,-0.7524973366920104,0.7895736357619646,3.0468048393124008,-3.186479119563774,-0.8711694315913187,-1.3467184321151737,1.191992340188471,-1.0894946732958422,-0.4261664438061108,1.7059192879676086,1.5632125293001145,-1.0727345033098228,0.17958339055279587,1.7210456395424272,-1.5405792161664913,-0.5819496585330876,0.284304104755197,-0.4764300501600823,0.5667207725720154,-1.3854142552867177,-0.5949542928799906,-0.9872349649594683,-2.6765258782575456,1.2802432032869442,-0.5188296463332976,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,0.16946576167598135,-0.8195226514936922,0.8050921890895147,train,month,4
2010-02-07,,-1.420767266657574,-1.3320853061540743,-1.219266532430231,-0.7646284110421284,-0.07524327848858935,1.8739348169964838,-3.236956353210846,-0.6470666620562653,-1.3467184321151737,1.191992340188471,-1.0632287301365106,-0.6826764393280279,1.7059192879676086,1.5632125293001145,-1.2053989267844225,0.17958339055279587,1.721045639542427,-1.5405792161664913,-0.5819496585330876,0.511926922049051,0.8590594422338735,0.5667207725720154,-1.3854142552867177,-0.42439971870868265,-1.0065732883193312,-2.076775436542486,1.2802432032869444,-0.4466247697459238,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,-0.35886933485466593,-0.959638536552711,0.8050921890895147,train,week,4
2010-02-14,,-1.420767266657574,-1.3320853061540743,-1.219266532430231,-0.7646284110421284,-0.07524327848858935,1.8739348169964838,-3.236956353210846,-0.6470666620562653,-1.2929090025250034,1.191992340188471,-1.0597638610388969,-0.6826764393280279,1.7059192879676086,1.5632125293001145,-1.2053989267844225,0.17958339055279587,1.721045639542427,-1.5405792161664913,-0.5819496585330876,0.8305988662604468,-0.2617473003721097,0.5667207725720154,-1.3854142552867177,-0.6239857453693621,-0.9678966415996053,-0.870112424265301,1.2802432032869444,-0.25666568848352617,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,-0.5770284356963915,-1.0306509469640939,0.8050921890895147,train,week,4
2010-02-21,,-1.420767266657574,-1.3320853061540743,-1.219266532430231,-0.7646284110421284,-0.07524327848858935,1.8739348169964838,-3.236956353210846,-0.6470666620562653,-1.221163096404776,1.191992340188471,-1.0597638610388969,-0.39868323000019085,1.7059192879676086,1.5632125293001145,-0.8790023293469152,0.17958339055279587,1.721045639542427,-1.5405792161664913,-0.5819496585330876,1.1492708104718423,-0.28873204313354794,0.5667207725720154,-1.3854142552867177,-0.5714861468666413,-1.39333975551659,-0.7832326873813436,1.2802432032869444,-0.20917591816792677,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,1.0435820276992849,-1.0661571521697855,0.8050921890895147,train,week,4
2010-02-28,0.3123807612172236,-1.420767266657574,-1.3320853061540743,-1.219266532430231,-0.7646284110421284,-0.07524327848858935,1.873934816996484,-3.236956353210846,-0.6470666620562653,-1.2704884068624316,1.191992340188471,-1.061496295587704,-0.5122805137313262,1.7059192879676086,1.5632125293001145,-0.8440312653357535,0.17958339055279587,1.7210456395424272,-1.5405792161664913,-0.5819496585330876,1.650041008518321,-0.0711258647078829,0.5667207725720154,-1.3854142552867177,-0.5614705193780961,-1.190287360238029,-1.1886714595064793,1.2802432032869442,-0.4782846166229901,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,-0.07058766588524278,-1.0658612671264047,0.8050921890895147,train,month,4
2010-03-14,,-1.3166381450376587,-1.414333740890688,-1.301086700690907,-1.080839632821181,-0.5160272329454558,1.243760055708222,-3.236956353210846,-0.6470666620562653,-1.3467184321151737,1.191992340188471,-1.0632287301365106,-0.28508594626905603,1.7059192879676086,1.5632125293001145,0.33332788970668265,0.17958339055279587,1.721045639542427,-1.5405792161664913,-0.5819496585330876,1.4174251745870536,0.42633332010887776,0.5667207725720154,-1.3854142552867177,-0.5087969798747846,-1.2192948452778236,-1.0438718980332151,1.2802432032869444,-1.3647603291808454,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,-0.4523660923582626,-1.492231614638083,0.8050921890895147,train,week,4
2010-03-21,,-1.3166381450376587,-1.414333740890688,-1.301086700690907,-1.080839632821181,-0.5160272329454558,1.243760055708222,-3.236956353210846,-0.6470666620562653,-1.3467184321151737,1.191992340188471,-1.0632287301365106,-0.28508594626905603,1.7059192879676086,1.5632125293001145,0.16546678245310753,0.17958339055279587,1.721045639542427,-1.5405792161664913,-0.5819496585330876,1.2693969166307923,-0.68337632603566,0.5667207725720154,-1.8416676647829746,-0.49212776555897025,-0.9872349649594684,-1.014911985738563,1.2802432032869444,-1.412250099496445,-0.9249943160428472,-0.5427710478410275,-0.8475951504981604,-0.7328563648690528,-1.6815980424017707,0.8050921890895147,train,week,4
