,ipc_all,lag_1,lag_2,lag_3,lag_6,lag_9,lag_12,ufv,banana_co,beef_lp,papa2_or,squash_tr,noodle_sc,greenbean_tr,peas_lp,beef_or,ycorn_tr,paprika_tr,noodle_tj,tomato_lp,papa2_tr,peas_or,banana_tj,tomato_tr,milk_or,libor,yuca_sc,papa2_sc,peas_po,oil2_sc,lard_co,tomato_co,freq
2021-06-20,,104.8753807081,105.0484912279,105.115719769,104.5807979129,104.3524559941,104.693147682,2.3679,120.0,21.5,33.33,42.5,70.0,80.0,52.432,22.0,92.5,130.0,85.0,66.054,40.0,43.5,32.5,67.5,5.8,0.152852,15.0,28.0,54.0,8.1,210.0,130.0,week
2021-06-27,,104.8753807081,105.0484912279,105.115719769,104.5807979129,104.3524559941,104.693147682,2.36818,120.0,20.625,31.805,42.5,70.0,80.0,53.75,22.0,92.5,130.0,85.0,68.0,40.0,45.0,32.5,67.5,5.8,0.161402,15.0,28.0,68.75,8.1,210.0,130.0,week
2021-06-30,104.8890668935,104.8753807081,105.0484912279,105.115719769,104.5807979129,104.3524559941,104.693147682,2.36784,120.0,21.19047619047619,33.15047619047619,42.5,70.0,80.0,57.444761904761904,21.976190476190474,92.5,130.0,85.0,67.47238095238096,40.0,44.76190476190476,32.857142857142854,70.0,5.8,0.1605704545454545,14.783809523809524,28.571428571428573,60.35714285714285,8.1,210.0,130.0,month
2021-07-04,,104.8890668935,104.8753807081,105.0484912279,105.0705436217,104.6330769703,104.836411163,2.368445714285714,120.0,21.0,32.016,42.5,70.0,80.0,53.5,22.0,92.5,130.0,85.0,65.91799999999999,40.0,45.0,32.5,67.5,5.8,0.164302,13.092000000000002,26.0,76.5,8.1,210.0,130.0,week
2021-07-11,,104.8890668935,104.8753807081,105.0484912279,105.0705436217,104.6330769703,104.836411163,2.368657142857143,120.0,21.0,29.63,42.5,70.0,80.0,75.83333333333333,22.0,92.5,130.0,85.0,97.5,38.0,78.33333333333333,34.166666666666664,67.5,5.8,0.162376,14.7,28.666666666666668,93.33333333333331,8.1,210.0,130.0,week
2021-07-18,,104.8890668935,104.8753807081,105.0484912279,105.0705436217,104.6330769703,104.836411163,2.36877,120.0,21.0,28.98,42.5,70.0,80.0,99.86166666666666,22.20833333333333,92.5,130.0,85.0,116.45833333333331,37.0,87.5,37.5,67.5,5.8,0.153704,14.435,28.83333333333333,105.41666666666669,8.1,210.0,130.0,week
2021-07-25,,104.8890668935,104.8753807081,105.0484912279,105.0705436217,104.6330769703,104.836411163,2.36884,120.0,21.0,27.87,42.5,70.0,80.0,103.82,21.666666666666668,92.5,130.0,85.0,119.19333333333331,37.0,102.5,37.5,67.5,5.8,0.1523779999999999,16.411666666666665,28.0,98.33333333333331,8.1,210.0,130.0,week
2021-07-31,105.0450102462,104.8890668935,104.8753807081,105.0484912279,105.0705436217,104.6330769703,104.836411163,2.3687509677419354,120.0,21.0,29.401153846153843,42.5,70.0,80.0,89.66384615384617,21.971153846153847,92.5,130.0,85.0,104.6646153846154,37.46153846153846,91.15384615384616,36.34615384615385,75.0,5.7846153846153845,0.1567636363636363,15.137692307692308,28.192307692307693,99.90384615384616,8.09153846153846,210.0,130.0,month
2021-08-01,,105.0450102462,104.8890668935,104.8753807081,105.2407868792,104.3521594822,105.4062357263,2.36891,120.0,21.0,30.185,42.5,70.0,80.0,91.945,22.0,92.5,130.0,85.0,98.72833333333334,37.0,111.66666666666669,37.5,100.0,5.733333333333333,0.156526,15.883333333333333,28.0,106.66666666666669,8.063333333333333,210.0,130.0,week
2021-08-08,,105.0450102462,104.8890668935,104.8753807081,105.2407868792,104.3521594822,105.4062357263,2.36898,120.0,20.75,31.9425,42.5,70.0,80.0,110.625,21.625,92.5,130.0,85.0,120.2075,37.0,110.0,37.5,100.0,5.6,0.1521539999999999,15.9325,30.75,100.0,7.88,210.0,130.0,week
2021-08-15,,105.0450102462,104.8890668935,104.8753807081,105.2407868792,104.3521594822,105.4062357263,2.36905,120.0,21.0,31.17333333333333,42.5,70.0,80.0,110.41666666666669,22.0,92.5,130.0,85.0,127.83333333333331,37.0,98.33333333333331,37.5,113.75,5.599999999999999,0.154952,15.458333333333334,32.0,93.33333333333331,7.88,210.0,130.0,week
2021-08-22,,105.0450102462,104.8890668935,104.8753807081,105.2407868792,104.3521594822,105.4062357263,2.36912,120.0,21.0,29.168333333333333,42.5,70.0,80.0,116.25,22.0,92.5,130.0,85.0,159.90333333333334,37.0,75.0,37.5,127.5,5.75,0.155504,18.08,32.0,78.75,7.989999999999999,210.0,130.0,week
2021-08-29,,105.0450102462,104.8890668935,104.8753807081,105.2407868792,104.3521594822,105.4062357263,2.36919,120.0,21.0,27.73333333333333,42.5,70.0,80.0,91.25,21.58333333333333,92.5,130.0,85.0,139.79166666666666,37.0,77.5,37.5,125.83333333333331,5.708333333333333,0.155852,18.42333333333333,28.0,69.16666666666667,8.1,210.0,130.0,week
2021-08-31,105.5928891968,105.0450102462,104.8890668935,104.8753807081,105.2407868792,104.3521594822,105.4062357263,2.36909,120.0,20.95833333333333,29.61083333333333,42.5,70.0,80.0,104.58333333333331,21.83333333333333,92.5,130.0,85.0,138.79166666666666,37.0,87.39583333333333,37.395833333333336,118.85416666666669,5.672916666666667,0.1546277272727272,17.047083333333333,30.45833333333333,82.1875,7.980833333333333,210.0,130.0,month
2021-09-05,,105.5928891968,105.0450102462,104.8890668935,105.115719769,104.5807979129,104.3524559941,2.36926,120.0,21.0,27.5,42.5,70.0,80.0,72.91666666666667,22.0,92.5,130.0,85.0,139.41666666666666,37.0,73.33333333333333,35.416666666666664,125.0,5.7,0.151478,16.36,28.0,62.91666666666666,8.1,210.0,130.0,week
2021-09-12,,105.5928891968,105.0450102462,104.8890668935,105.115719769,104.5807979129,104.3524559941,2.36933,120.0,21.0,27.13166666666667,42.5,70.0,80.0,66.66666666666667,22.0,92.5,130.0,85.0,128.95833333333334,37.333333333333336,62.91666666666666,35.0,125.0,5.675000000000001,0.148528,19.438333333333333,26.08333333333333,53.75,8.1,210.0,130.0,week
2021-09-19,,105.5928891968,105.0450102462,104.8890668935,105.115719769,104.5807979129,104.3524559941,2.3694,120.0,20.666666666666668,24.21166666666667,42.5,70.0,80.0,68.05333333333333,22.0,92.5,130.0,85.0,126.58333333333331,37.5,66.25,32.5,125.0,5.7,0.149328,19.848333333333333,24.0,68.75,7.979999999999999,210.0,140.0,week
2021-09-26,,105.5928891968,105.0450102462,104.8890668935,105.115719769,104.5807979129,104.3524559941,2.36947,120.0,21.1,24.53333333333333,42.5,70.0,80.0,78.95833333333333,22.0,92.5,130.0,85.0,124.47166666666668,37.5,70.0,34.583333333333336,125.0,5.7,0.154352,22.55333333333333,20.0,72.91666666666667,7.919999999999999,210.0,140.0,week
2021-09-30,105.3861152076,105.5928891968,105.0450102462,104.8890668935,105.115719769,104.5807979129,104.3524559941,2.369395,120.0,20.86923076923077,25.63,42.5,70.0,80.0,72.40307692307692,22.0,92.5,130.0,85.0,127.02307692307691,37.38461538461539,67.5,34.32692307692308,125.0,5.69423076923077,0.1517131818181818,20.137307692307694,23.557692307692307,65.1923076923077,8.003076923076922,210.0,136.15384615384616,month
2021-10-03,,105.3861152076,105.5928891968,105.0450102462,105.0484912279,105.0705436217,104.6330769703,2.36954,120.0,20.5,25.465,42.5,70.0,80.0,79.92833333333333,22.0,92.5,130.0,85.0,110.33666666666666,37.5,68.75,35.0,125.0,5.7,0.157152,23.666666666666668,19.83333333333333,68.33333333333333,7.919999999999999,210.0,140.0,week
2021-10-10,,105.3861152076,105.5928891968,105.0450102462,105.0484912279,105.0705436217,104.6330769703,2.36961,120.0,20.75,26.668333333333333,42.5,70.0,80.0,77.77666666666666,22.0,92.5,130.0,80.0,87.625,39.16666666666666,69.16666666666667,35.0,125.0,5.633333333333333,0.155828,33.0,19.0,73.33333333333333,7.965,210.0,140.0,week
2021-10-17,,105.3861152076,105.5928891968,105.0450102462,105.0484912279,105.0705436217,104.6330769703,2.36988,120.0,21.291666666666668,26.666666666666668,42.5,69.66666666666667,80.0,81.11166666666666,22.0,92.5,130.0,80.0,80.08333333333333,40.0,64.58333333333333,35.0,125.0,5.599999999999999,0.158026,34.0,18.166666666666668,70.83333333333333,8.01,210.0,140.0,week
2021-10-24,,105.3861152076,105.5928891968,105.0450102462,105.0484912279,105.0705436217,104.6330769703,2.3703,120.0,22.0,26.85166666666667,42.5,70.0,80.0,83.83166666666666,22.0,92.5,130.0,80.0,73.125,40.0,54.583333333333336,37.5,125.0,5.599999999999999,0.1693,29.83333333333333,18.0,70.83333333333333,8.01,210.0,140.0,week
2021-10-31,105.1485213624,105.3861152076,105.5928891968,105.0450102462,105.0484912279,105.0705436217,104.6330769703,2.370072580645161,120.0,21.41346153846154,26.83807692307692,42.5,69.92307692307692,80.0,79.82615384615384,22.057692307692307,92.5,130.0,80.38461538461539,80.67615384615384,39.61538461538461,62.88461538461539,36.15384615384615,125.0,5.608461538461539,0.1667219047619047,31.346153846153847,18.53846153846154,71.92307692307692,7.992692307692308,210.0,140.0,month
