,cpi,ridge,lasso,ada,gbr,rf,et,set,min,max,w_avg,w_avg_best
2010-01-01,,-0.30477185067628687,0.610665034251971,0.0744717144483875,-0.10807332007516066,0.053954390022796436,0.18637184692279044,day,-0.30477185067628687,0.610665034251971,0.03158613421279408,0.05220418977049345
2010-01-02,,-0.23644568101361507,0.6024627212292994,0.0744717144483875,-0.20628219511066936,0.053954390022796436,0.14777482212696602,day,-0.23644568101361507,0.6024627212292994,0.02944976492707109,0.07024333037995156
2010-01-03,,-0.23402372301153918,0.6034608808965474,0.0744717144483875,-0.20628219511066936,0.0549121137240356,0.14777482212696602,day,-0.23402372301153918,0.6034608808965474,0.030442866745715103,0.07159540465562697
2010-01-04,,-0.4937503073816174,0.5900624829125123,0.0744717144483875,-0.19570994823150484,0.0549121137240356,0.11175323369275703,day,-0.4937503073816174,0.5900624829125123,-0.05696625423679423,-0.06365868631503704
2010-01-05,,-0.541573063388018,0.5937517863605155,0.0744717144483875,-0.18590852738903543,0.051194149151316475,0.08140469821122588,day,-0.541573063388018,0.5937517863605155,-0.07628127737732264,-0.09454876115010835
2010-01-06,,-0.5196044386195857,0.5802623698158986,0.0744717144483875,-0.2096919756619366,0.12428031733738229,0.0637267292538768,day,-0.5196044386195857,0.5802623698158986,-0.07057080709716353,-0.09280847491643514
2010-01-07,,-0.5480774192889091,0.587368350021011,0.0744717144483875,-0.1921988317012371,0.12428031733738229,0.02770514081966781,day,-0.5480774192889091,0.587368350021011,-0.08311077879864656,-0.11567565874486459
2010-01-08,,-0.580235173167091,0.583346760703995,0.0744717144483875,-0.19110759345608344,0.1354610558960654,0.02489914456212551,day,-0.580235173167091,0.583346760703995,-0.09275671760169417,-0.13243645240931798
2010-01-09,,-0.5635119927456933,0.6011772246243394,0.1989757956094795,0.11555335853199278,0.3169737189223972,0.10281204136163749,day,-0.5635119927456933,0.6011772246243394,0.0057052102323409725,-0.09647238320382497
2010-01-10,,-0.5607597677433347,0.6023114969734844,0.1989757956094795,0.11555335853199278,0.3169737189223972,0.10281204136163749,day,-0.5607597677433347,0.6023114969734844,0.00671526753706744,-0.094935935163285
2010-01-11,,-0.5580075427409756,0.6034457693226294,0.1989757956094795,0.11555335853199278,0.3169737189223972,0.10281204136163749,day,-0.5580075427409756,0.6034457693226294,0.007725324841794079,-0.09339948712274478
2010-01-12,,-0.5466583746892755,0.6103864031708883,0.17708010272246,0.07867044364511502,0.2981703096444634,0.0558738072664007,day,-0.5466583746892755,0.6103864031708883,-0.00665596217209728,-0.10112787170905997
2010-01-13,,-0.5631782645787378,0.6133827620589689,0.1989757956094795,0.08592003596337713,0.2925340978942111,0.056664806028051705,day,-0.5631782645787378,0.6133827620589689,-0.008699815662257296,-0.10791415723630868
2010-01-14,,-0.5189604982998404,0.6449532339957287,0.1989757956094795,0.08730092966234239,0.29002433445737985,0.17521222047152754,day,-0.5189604982998404,0.6449532339957287,0.03360247882330754,-0.04344981459846873
2010-01-15,,-0.5229237023032374,0.64331988181296,0.1989757956094795,0.08730092966234239,0.2946456976132182,0.17521222047152754,day,-0.5229237023032374,0.64331988181296,0.03265104695920142,-0.0456622997768466
2010-01-16,,-0.49647194169535913,0.6429314626473,0.17708010272246,0.0839675076123454,0.2820558575203076,0.14931339280272213,day,-0.49647194169535913,0.6429314626473,0.031572357456118194,-0.041456873749768995
