,cpi,ridge,lasso,ada,gbr,rf,et,set,min,max,w_avg,w_avg_best
2010-01-01,,0.3940047682098329,0.7997762555272536,0.5764200680010015,0.30772648159577193,0.443201367499135,0.351034809008565,day,0.30772648159577193,0.7997762555272536,0.457444229903105,0.35891895490316506
2010-01-02,,0.3732019871802694,0.8053325963634674,0.5764200680010015,0.29016169675125647,0.43543443624866435,0.4168832380141307,day,0.29016169675125647,0.8053325963634674,0.4610116442958169,0.36472402714260105
2010-01-03,,0.37163027359621115,0.8054799650890598,0.5764200680010015,0.29016169675125647,0.43543443624866435,0.4168832380141307,day,0.29016169675125647,0.8054799650890598,0.4605963371445804,0.36402610071562097
2010-01-04,,0.35839353158455456,0.7967214249177732,0.5764200680010015,0.3103056343116647,0.4615113292433587,0.37153594710373616,day,0.3103056343116647,0.7967214249177732,0.45332814149768536,0.3498696252597182
2010-01-05,,0.4404149017254553,0.7991714326722121,0.6113397997261433,0.376053529517363,0.4422487965166593,0.2955101320005878,day,0.2955101320005878,0.7991714326722121,0.47535737653240484,0.38067928467177226
2010-01-06,,0.43064536154119004,0.7965500977092188,0.5764200680010015,0.5823703157957534,0.5117781011699352,0.320550629877975,day,0.320550629877975,0.7965500977092188,0.5131771734787833,0.4371290715319371
2010-01-07,,0.40448421356973885,0.785804533043454,0.5764200680010015,0.3702071625545097,0.4270147325064704,0.34684502912336773,day,0.34684502912336773,0.785804533043454,0.46598030962514003,0.37847996950552887
2010-01-08,,0.3469370063445849,0.7856834012961866,0.5764200680010015,0.05978308483522829,0.3814095192818777,0.32121489530569763,day,0.05978308483522829,0.7856834012961866,0.3902449690616421,0.2650468090206384
2010-01-09,,0.347525317515311,0.769458755669937,0.5764200680010015,0.06523491295957802,0.3466711378362831,0.2363855079340826,day,0.06523491295957802,0.769458755669937,0.36955432796558874,0.24148867277944133
2010-01-10,,0.353817655721,0.7691298495210028,0.5764200680010015,0.0658278745431571,0.3466711378362831,0.2507606747616051,day,0.0658278745431571,0.7691298495210028,0.3740188860870348,0.24871139725024535
2010-01-11,,0.3049363182664102,0.7521448519180804,0.532738980285058,-0.5396897950045055,0.29480603076557665,0.12273625383432064,day,-0.5396897950045055,0.7521448519180804,0.22536548372700727,0.03238058017012516
2010-01-12,,0.48780250693306737,0.7723806788837235,0.5764200680010015,0.18513090388400535,0.3325125890097033,0.1773250036149027,day,0.1773250036149027,0.7723806788837235,0.4157322952171082,0.31721204696703836
2010-01-13,,0.43486138348282166,0.7727253634706202,0.5764200680010015,0.22049958337261466,0.3391116055408296,0.1475101474692955,day,0.1475101474692955,0.7727253634706202,0.40197934459058116,0.2939803013339176
2010-01-14,,0.3190783809485729,0.7568664680511117,0.4223277387306802,-0.5898356979125515,0.28121046650967063,-0.05613503451281155,day,-0.5898356979125515,0.7568664680511117,0.17291046933750973,-0.02750184195369291
2010-01-15,,0.17577658189460799,0.7666159999916791,0.532738980285058,0.06201802151782352,0.35452623434071595,0.021953800463262448,day,0.021953800463262448,0.7666159999916791,0.2763872885277578,0.10061762340641991
2010-01-16,,0.18652688403978823,0.7657673843761752,0.532738980285058,0.001755071287229253,0.3403744149003766,0.028359336771422328,day,0.001755071287229253,0.7657673843761752,0.26919514382927323,0.09171612320435404
2010-01-17,,0.18786036435141407,0.7658429428648135,0.532738980285058,0.001755071287229253,0.3403744149003766,0.015526474889206554,day,0.001755071287229253,0.7658429428648135,0.2671920979507601,0.08849167350878143
2010-01-18,,0.3002368403028677,0.7735019666924332,0.501743794959406,0.011821431791960706,0.3167923478503362,-0.16281826837810864,day,-0.16281826837810864,0.7735019666924332,0.2613947261304671,0.08795444809634911
2010-01-19,,0.3009138073763937,0.7821805399688673,0.5764200680010015,0.07831227819546574,0.3466901839768375,0.082059542821864,day,0.07831227819546574,0.7821805399688673,0.3318526825426494,0.1782739441306688
2010-01-20,,0.29741502106849405,0.7720925809451722,0.5764200680010015,0.18296501403834117,0.31722312289838356,0.002724914687219691,day,0.002724914687219691,0.7720925809451722,0.32848425672281334,0.18018231797826217
2010-01-21,,0.3805612485840224,0.7804780556741369,0.5764200680010015,0.3871965898678363,0.4378025247987021,0.15707129949114804,day,0.15707129949114804,0.7804780556741369,0.4272574547786858,0.3158091818649509
2010-01-22,,0.25175050900052165,0.7724576290636174,0.551519321607144,0.1861175794971378,0.43776402606970055,0.17205159980807694,day,0.17205159980807694,0.7724576290636174,0.3575187728541525,0.2110788486846185
2010-01-23,,0.24328381904118324,0.7509781989497779,0.5265824935727172,-0.02696474862806955,0.35082255075392704,0.002010032573509734,day,-0.02696474862806955,0.7509781989497779,0.273666798370561,0.10165764636522948
2010-01-24,,0.24088459137133,0.7506885938131056,0.5265824935727172,-0.02696474862806955,0.35082255075392704,0.002010032573509734,day,-0.02696474862806955,0.7506885938131056,0.27296115807381693,0.10059225861766752
2010-01-25,,0.29928707869421745,0.7551205993184946,0.4223277387306802,-0.6063099051368489,0.29292141172276814,-0.13855061189566342,day,-0.6063099051368489,0.7551205993184946,0.1504669645918072,-0.06506046884326837
2010-01-26,,0.40968202639896223,0.7623485006152375,0.551519321607144,0.15720956942331035,0.3558947761125802,0.11341112462997958,day,0.11341112462997958,0.7623485006152375,0.3755811704707718,0.2562951101483456
2010-01-27,,0.5289534583701703,0.7818945661621797,0.551519321607144,0.15134409604302285,0.3729335489151585,0.15081077562269685,day,0.15081077562269685,0.7818945661621797,0.41920075262445694,0.3188646041366081
